GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,4,241,5,33,2,66,6,22,1,8,,0.983673469,0.868421053,28,54,100.5,166,2162.25,12544,4290.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationException,0,16,0,0,0,8,0,4,0,4,,1,0.83,4,127.5,63.5,63,4096,4160.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConversionException,7,9,0,0,4,4,2,2,2,2,,0.5625,0.83,4,12,63,62.5,2601,2550.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationRuntimeException,0,22,0,0,0,10,0,5,0,5,,1,0.83,5,126,62.5,76.5,4032.25,2450.25,196
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory.NodeWrapper,0,15,0,0,0,6,0,3,0,3,,1,0.83,3,125.5,62,46,4032.25,6320.25,256
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,18,28,2,2,5,8,2,5,1,4,,0.608695652,0.5,7,14,11.5,94,6.25,6400,6806.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathContextFactory,0,13,0,0,0,6,0,2,0,2,,1,0.83,2,124,60.5,23,4032.25,10201,1406.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,0,100,0,12,0,24,0,11,0,5,,1,1,11,123.5,153,114,870.25,90.25,1521
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,0,194,0,30,0,50,0,22,0,7,,1,1,22,123,152.5,153,870.25,900,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,23,459,1,57,8,114,1,45,0,17,,0.952282158,0.982758621,46,39,118,170.5,6241,17292.25,2756.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,4,135,1,11,2,35,2,22,1,17,,0.971223022,0.916666667,24,44,100,154.5,3136,12210.25,2970.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0,127,2,14,0,24,2,18,0,12,,1,0.875,20,120.5,96,149.5,600.25,841,2862.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,2,67,1,3,1,22,2,14,1,13,,0.971014493,0.75,16,43,19.5,135,552.25,8464,13340.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder,0,13,0,0,0,4,0,2,0,2,,1,0.83,2,119,59,22.5,3600,9312.25,1332.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData,13,219,1,15,2,59,1,20,0,13,,0.943965517,0.9375,21,38,103.5,148,4290.25,12100,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.WrapperBuilder,0,24,0,0,0,8,0,4,0,4,,1,0.83,4,117.5,58.5,59,3481,3422.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,1,88,1,13,1,22,1,12,0,6,,0.988764045,0.928571429,13,50,98.5,119.5,2352.25,4830.25,441
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,4,87,0,14,2,23,2,15,2,8,,0.956043956,1,17,39,144,135,11025,9216,81
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,25,957,10,66,4,237,10,70,0,42,,0.974541752,0.868421053,80,42,91,172,2401,16900,6561
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,0,72,0,4,0,23,0,12,0,10,,1,1,12,114,142.5,114.5,812.25,0.25,784
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,6,76,0,4,1,16,1,8,1,6,,0.926829268,1,9,33,142,102.5,11881,4830.25,1560.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,0,85,0,4,0,28,0,11,0,9,,1,1,11,112.5,141.5,110.5,841,4,961
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder,0,47,0,0,0,13,0,6,0,6,,1,0.83,6,112,58,82.5,2916,870.25,600.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,,1,0.83,2,111.5,57.5,22,2916,8010.25,1260.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.new EventListener() {...},0,27,0,0,0,6,0,2,0,2,,1,0.83,2,111,57,21.5,2916,8010.25,1260.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedBuilderParametersImpl,6,231,0,20,1,68,1,34,1,24,,0.974683544,1,35,41,138,150,9409,11881,144
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilder,2,417,2,30,1,105,2,35,0,21,,0.99522673,0.9375,37,47,97,151,2500,10816,2916
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider,1,61,1,3,0,15,1,5,0,4,,0.983870968,0.75,6,44,19,80,625,1296,3721
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilderProvider,0,65,0,2,0,19,0,5,0,4,,1,1,5,107.5,135.5,70,784,1406.25,4290.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaBean,0,152,0,10,0,33,0,17,0,12,,1,1,17,107,135,126.5,784,380.25,72.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder.new CombinedReloadingController() {...},0,37,0,2,0,10,0,3,0,2,,1,1,3,106.5,134.5,41.5,784,4225,8649
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,,1,0.83,2,106,55.5,21,2550.25,7225,1190.25
